Time to Failure (hours) | Constant Hazard | Linearly Increasing Hazard | Weibull Distribution
1.00                    | 1.35            | 0.64                       | 0.35
2.00                    | 1.82            | 0.17                       | 0.23
3.00                    | 2.46            | 0.02                       | 0.16
4.00                    | 3.32            | 0.00                       | 0.12
5.00                    | 4.48            | 0.00                       | 0.09
6.00                    | 6.05            | 0.00                       | 0.08
7.00                    | 8.17            | 0.00                       | 0.06
8.00                    | 11.02           | 0.00                       | 0.05
9.00                    | 14.88           | 0.00                       | 0.04
10.00                   | 20.09           | 0.00                       | 0.04
